,Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
1387,MENA SEF II,Advisory Services,,Active,Africa,Middle East Region,,,2019-04-23T04:00:00Z,,,,"The overall goal of the MENA Sustainable Energy Finance II Program is to improve access to finance for sustainable energy investments to increase competitiveness and address climate change issues in MENA region. The Program seeks to establish SEF products in the private sector by working with client banks, investment and advisory services clients across the region, and supporting the development via roll out of financially viable sustainable energy finance lending products through local financial institutions. 
In order to achieve this objective, the Program will focus on four main components:
1.	Create a regional platform to support financial institutions in providing climate financing for private sector, with an emphasis on potential and existing IFC investment clients;
2.	Assist client FIs in building the pipeline of eligible projects, improve market conditions and further develop new financial products for energy efficiency, renewable energy, and resource efficiency projects as well as for green buildings, water efficiency projects and other climate change mitigation/adaptation projects
3.	Provide knowledge sharing across the region within financial community
4.	Develop necessary frameworks and guidelines to allow key stakeholders (primarily FIs) to employ innovative financial solutions for financing climate projects, like green bonds etc.",,,,,,"The overall goal of the MENA SEF Program is to strengthen private climate finance market in the region. . IFC will support banks in developing and marketing sustainable energy lending products including issuance of green bonds. In each focus country, committed financial institutions will be selected by IFC as partners, and IFC will work with these institutions to build their sustainable energy finance expertise. As FIG AS prioritize work with existing investment clients, in most cases this will include provision of dedicated IFC financing for any combination of energy efficiency, resource efficiency, renewable energy projects as well as other climate change mitigation/adaptation measures.
",,,,,,,,,,,,,,,600808,,,Financial Institutions Group,,2016-09-29T04:00:00Z,2016-10-01T04:00:00Z
1388,Kenya IC Phase 3,Advisory Services,,Active,Africa,Kenya,,,2019-04-17T04:00:00Z,,,,"The Kenya Investment Climate Project (KICP 3) is one of 3 projects under the umbrella Competitiveness Enhancement Program whose main goal is to strengthen Kenya's competitiveness and job creation potential through targeted private sector enabling interventions. KICP 3 specifically aims to strengthen the business environment, enhance efficiency and transparency and open markets in key sectors of the economy through targeted legal and regulatory improvements at national and subnational levels.

Project success will be measured through a robust monitoring and evaluation framework estimating impact in terms of direct private sector savings, investments and jobs generated, growth in business formalization, and investment enabling reforms at both levels of government.",,,,,,"Project success will be measured through a robust monitoring and evaluation framework estimating impact in terms of private sector savings, investments and jobs generated, growth in business formalization, and investment enabling reforms at both levels of government.",,,,,,,,,,,,,,,603298,,,Other,,2018-07-31T04:00:00Z,2018-07-01T04:00:00Z
1389,Afghan Solar,Advisory Services,,Completed,Middle East,Afghanistan,,,2019-04-09T04:00:00Z,,,,"IFC will provide transaction advisory support to the Ministry of Energy and Water to assist in structuring and tendering a public-private partnership with a qualified private investor to build, operate, and maintain a 40MW solar PV power plant. The Government is considering options for structuring the project, including using the World Bank Group's Scaling Solar approach.",,,,,,"The objective of the proposed project is to assist the Ministry of Energy and Water in implementing a solar power project to supply energy to the national grid. The successful implementation of the project is expected to improve energy security in Afghanistan, mobilize foreign direct investment, and reduce harmful GHG emissions through the use of renewable energy sources.","<table><tbody><tr><th>Indicator</th><th>Calendar Year 2017 Results</th><th>Cumulative Results as of 2017</th></tr><tr><td>Number of agreements (concession, etc.) signed</td><td>Not Available</td><td>Not Available</td></tr><tr><td>Number of bids conducted</td><td>Not Available</td><td>Not Available</td></tr></tbody></table>",,,,,,,,,,,,,,601914,,,Transaction Advisory,,2017-07-06T04:00:00Z,2019-02-19T05:00:00Z
1390,Pak. Sugar VC,Advisory Services,,Active,Middle East,Pakistan,,,2019-04-09T04:00:00Z,,,,"The overall project goal is to improve the economic, social and environmental sustainability of sugarcane supply chains in Pakistan
The overall goal of the Project will be achieved through the following four components:
COMPONENT 1: To increase the productivity, profitability and sustainability of sugarcane production at the farmer level; . The Project's efforts will focus on developing 15,000 smallholder farmers who will be its ultimate beneficiaries via a farmer development system which will boost the sustainability and efficiency of the sugarcane production of smallholder farmers and ensure the smallholder farmers' compliance with global sustainability and industry standards.
COMPONENT 2: To implement international compliance standard practices at the farmer and at the sugar mill levels. IFC will support the Client in implementing international standard compliant practices and systems by conducting an assessment of the practices used at the farmer and at the sugar mill levels for their compliance with the requirements of the Bonsucro standard, by identifying the required improvement opportunities, by providing recommendations on how the required improvements should be implemented and by providing guidance and high level support to the Client on implementing the recommended improvements 
COMPONENT 3:  To improve the sustainability of irrigation techniques through improving the affordability of solar powered pumps for irrigation and increased water use efficiency.
COMPONENT 4: To improve the capacity of sugar mills to support the sustainable development of sugarcane producers
IFC will build up the capacity and the expertise at the sugar mill level on supporting farmers on implementing a continuous improvement system for sugarcane production and harvesting as well as on introduction of climate-smart crop growing solutions.  This would also help the mills to integrate its supplier farmers into global sugar export value chains through meeting the requirements of international standards.",,,,,,"It is expected that the Project would achieve the following developmental goals: 
1)	Introducing sustainable and climate smart sugar cane growing and harvesting practices with 15,000 farmers in partnership with the Client's sugar mills and other industry stakeholders;
2)	Introducing sugar cane growing and processing practices and systems compliant with international standard requirements; 
3)	Creating a demonstration example on how to modernize and improve the efficiency of sugar cane farming and processing through (i) the introduction of innovative solutions, through (ii) improving farmer access to knowledge, inputs, technology and financing and through (iii) improving the competitive position of Pakistani sugar in export markets

IFC will develop the required systems, competencies and capacity at the level of the Client's sugar cane extension services team for providing support to farmers and for maintaining international standards in the Client's sugar mills' supply chains.
",,,,,,,,,,,,,,,600092,,,"Manufacturing, Agribusiness & Services",,2017-03-01T05:00:00Z,2017-01-01T05:00:00Z
1391,Colombia-Beef,Advisory Services,,Active,Latin America and the Caribbean,Colombia,,,2019-04-03T04:00:00Z,,,,"This project aims at improving Colombia's beef industry by aligning current cattle farming to more productive and sustainable practices, creating new opportunities to reach high-end export markets. The project will address the challenges associated with producing and exporting sustainable beef products in two ways: i) the project will work along clients' supply chains to identify and address gaps limiting their productivity levels, such as increasing slaughter weight so that it meets the standards of major export markets. And, ii) the project will disseminate sustainable beef production practices along clients' supply chains to decrease its impact on climate change, which will create great marketing opportunities for Colombian beef as a sustainable product for a global food market.",,,,,,"1) Improve ranchers' productivity within client supply chains over a four-year period through the adoption of climate-smart ranching practices.
2) Support the sustainable development of Colombia's beef sector to reach new/high-end markets.
3) Support existing beef industry efforts to develop sustainable practices and build local capacity.

",,,,,,,,,,,,,,,602126,,,"Manufacturing, Agribusiness & Services",,2018-08-21T04:00:00Z,2018-07-01T04:00:00Z
1392,Nicaragua-Dairy,Advisory Services,,Active,Latin America and the Caribbean,Nicaragua,,,2019-04-03T04:00:00Z,,,,"The project will work with dairy field staff (10 people) to improve their capacity to provide services to direct and association suppliers. The technical and capacity building activities will focus on improving food safety practices and managerial capacities of 10 coops (representing over 2,000 farmers) and about 15 large farmers. The climate-smart practices that will be implemented at the farm and milk collection center levels will be monitored by using FAO's Gleam-I tool. In addition, local financial institutions will be approached to assess the possibility of structuring dairy-specific financial products.",,,,,,"The objective of the project is to strengthen the technical and managerial capacities of different supply chain actors (producers, cooperatives, collection centers and a private sector company) to ensure a stable, high-quality supply of milk.",,,,,,,,,,,,,,,602840,,,"Manufacturing, Agribusiness & Services",,2018-07-12T04:00:00Z,2018-06-01T04:00:00Z
1393,Ethiopia SNIC,Advisory Services,,Active,Africa,Ethiopia,,,2019-04-03T04:00:00Z,,,,"This project has four complementary components - component 1: regional investment policy and promotion, component 2: regional business regulation and regulatory quality, policy and delivery, component 3: interagency coordination and collaboration, and component 4: use of public-private dialogue for improved regional investment climate. The last two components will be cross cutting for the first two business/intervention areas.  The project will be implemented/piloted in the two largest Regional States of Ethiopia (Oromia and Amhara). Depending on results and lessons from this phase, it may be expanded to other regions under phase II.",,,,,,"The Sub National Investment Climate project is designed with the aim to address core investment climate constraints businesses face at a regional level and thereby enhance regional business competitiveness. With its regional focus, the project aims to further maximize and deepen the investment climate reforms gained at the federal level. 
",,,,,,,,,,,,,,,603505,,,Other,,2018-09-03T04:00:00Z,2018-09-01T04:00:00Z
1394,IPOTEKA BT,Advisory Services,,Active,Central Asia and Turkiye,Uzbekistan,,,2019-03-22T04:00:00Z,,,,"The Project will focus on revamping the business model, and transforming the bank into a commercially viable and sustainable institution. These efforts will entail strengthening the Bank's operations, improving the profitability structure, corporate governance, risk management to sustainably expand outreach to MSME sector.",,,,,,"This project intends to support the institutional transformation of Ipoteka-Bank, to turn it into valuable business, operating as sustainable commercial institution under the effective profit making business model. The ultimate goal is to help attract a strategic foreign partner to take the transformed institution into the next level of sustainable development with the focus on supporting MSMEs in the country.",,,,,,,,,,,,,,,602352,,,Financial Institutions Group,,2017-10-03T04:00:00Z,2017-10-01T04:00:00Z
1395,BiharHousing PPP,Advisory Services,,Active,South Asia,India,,,2019-03-19T04:00:00Z,,,,"IFC will provide transaction advisory support to the Government of Bihar's Urban Development and Housing Department, and Infrastructure Development Authority to implement greenfield Affordable Housing Projects in at least 3 cities across the state of Bihar, on a Public Private Partnership basis.",,,,,,The successful implementation of the project is expected to result in mobilization of private sector investment in the affordable housing sector in Bihar and development of affordable housing units for persons in the Lower Income Group and Economically Weaker Section categories of beneficiaries.,,,,,,,,,,,,,,,603221,,,Transaction Advisory,,2018-10-31T04:00:00Z,2018-10-06T04:00:00Z
1396,Mozambique SNDB,Advisory Services,,Completed,Africa,Mozambique,,,2019-03-13T04:00:00Z,,,,"The first round of Subnational Doing Business in Mozambique will produce baseline data on four Doing Business areas that are actionable at the national and local level and where subnational differences are more likely to occur. The benchmark includes three areas (starting a business, registering property and enforcing contracts) across 10 of the largest provinces: Cabo Delgado, Gaza, Inhambane, Manica, Maputo City, Nampula, Niassa, Sofala, Tete and Zambezia. It also measures trading across borders at three maritime ports (Beira, Maputo and Nacala) and one land border crossing (Ressano Garcia). It will provide reform recommendations in each of those four areas.",,,,,,"The project meets WBG exclusion criteria #8 for a client-facing diagnostic study. SNDB gathers, validates and publishes data based on private sector feedback. National, provincial and local governments are also fully involved in the project and its implementation process which ensures that government officials not only understand the benchmarking but also learn how to reform. This is fostered through peer to peer learning and similar techniques. However, since the SNDB team is not directly involved in the process of reforming but in collecting information that motivates reforms, claiming attribution for the potential impact of those reforms is not recommendable.",,,,,,,,,,,,,,,602761,,,Other,,2018-03-18T04:00:00Z,2018-03-19T04:00:00Z
1397,Sri Lanka Solar,Advisory Services,,Hold,South Asia,Sri Lanka,,,2019-03-06T05:00:00Z,,,,IFC will provide transaction advisory support to the Government of Sri Lanka to assist in implementing a solar power project. IFC will help develop a sound transaction structure and tender process for the project to competitively select a qualified solar power developer(s).,,,,,,"The objective of the proposed project is to assist the National Agency for Public-Private Partnerships, Ministry of Finance & Mass Media, Government of Sri Lanka to facilitate development of solar power. The successful implementation of the project is expected to result in clean power generation, avoidance of green-house gas emissions, and mobilization of private sector investment in the renewable energy sector.

",,,,,,,,,,,,,,,601378,,,Transaction Advisory,,2016-06-20T04:00:00Z,2016-08-01T04:00:00Z
1398,PNG Hospital PPP,Advisory Services,,Completed,East Asia and the Pacific,Papua New Guinea,,,2019-03-06T05:00:00Z,,,,"The Government of Papua New Guinea has requested the International Finance Corporation to provide transaction advisory services for structuring a project to select an investor to design, redevelop, finance and maintain the Mt. Hagen Hospital in the Western Highland Province.",,,,,,The Project is expected to attract private investment to upgrade health care facilities and medical equipment to improve the provision of health care services for the people in the Western Highlands Province of Papua New Guinea.,,,,,,,,,,,,,,,602234,,,Transaction Advisory,,2017-08-29T04:00:00Z,2018-07-01T04:00:00Z
1399,Prosperity RSA,Advisory Services,,Active,Africa,South Africa,,,2019-02-27T05:00:00Z,,,,"The project will aim at addressing key employment and growth challenges by focusing on a number of horizontal and vertical sectoral reforms especially focusing on manufacturing (including automotive), agribusiness, and telecom sectors with a special attention to SMEs. Based on engagement and consultations with the key stakeholders and counterparts, the program comprises 4 components each of which addresses a critical challenge:
1. Business Regulation/Delivering Business Environment Reforms: 
South Africa's business environment, as measured by the annual DB Report has progressively worsened over the last few years [currently ranked 82/190 countries, South Africa was ranked 29 in 2007]. The continued retrogression, while making the creation of new businesses difficult, also feeds a narrative of poor Government to Business service and contributes to the private sector's reticence to invest and create jobs. 
Under this component, the program will support South Africa to achieve reforms in indicators that it has prioritized - Starting a Business, Trading Across Borders and Paying Taxes. 

2. Investment Policy & Promotion: 
In order to meet the objectives of the inter-Ministerial Committee (created by the Government to generate FDI), South Africa requires additional support to boost its ability to attract and retain FDI and to tap into supply and value chains in South Africa and elsewhere. InvestSA, which is South Africa's investment promotion agency does not presently have the requisite capacity and has requested technical support to lead South Africa's drive to reshape its economy.

Further to a request from DTI, technical support rendered under this component will include:
(a) Development of an Investment Reform Map (IRM) and a Systematic Investment Retention Mechanism (SIRM). The IRM process helps countries clarify their investment objectives and yields a comprehensive review of policy, institutional, legal and regulatory barriers to FDI that generates a blue print for reform. 
(b) Strengthening of Capacity for Investment Promotion: A fundamental factor for the success of the IPP component would be strengthening of the Investment Promotion and aftercare services capacity of InvestSA. 
(c) Technical Support for Investment Generation into Industrial Parks.
(d) Review of Government Policy on linkages and local supplier development with particular reference to BBBEE: The team will work closely with the DTI at the national level as well as with 1-2 provincial/city level counterparts focusing on specific Industrial Park initiatives in order to meet the objectives of the Industrial Policy Action Plan 2017/18 - 2019/20. 

3. Competition Policy/Market Regulation Reform: 
This component supports the development of a holistic approach to competition policy in SA which aims to support the alignment of government interventions in markets (laws and regulations, broader public policies and direct state participation) with principles that strengthen market competition. The program will support the development of tools to strengthen the enforcement of the competition law to allow competition authorities to use their resources to detect and sanction anticompetitive behavior more effectively. It will also focus on broadening of the scope of competition policy in South Africa and equip policy makers with mechanisms to identify and reform distortions to competition caused by government interventions in markets in order to support entry and competition in key sectors of the economy. 

4. Private Sector Diagnostics and Analysis: 
The program will undertake a Country Private Sector Diagnostic and sector scans to identify key private sector investment opportunities to develop backwards and forward linkages. The said diagnostic and sector scans will also be undertaken with an analytical lens that will seek to identify the principal growth constraints of small and young businesses.",,,,,,"The 4-year Program aims at addressing key investment and growth challenges facing the South African economy such as poor regulation, anti-competitive practices and negative investor perceptions. It will focus on a range of horizontal and vertical sectoral reforms with special attention to SMEs. The Program seeks to contribute to addressing the unemployment and poor economic growth that the South Africa National Development Plan (NDP) 2030 identifies as key development challenges. The Project will be further calibrated to reflect findings from Country Private Sector Diagnostics and an Enterprise Survey both of which will identify sector specific investment opportunities and obstacles. 

Projected impact under the Program components are:

1. Business Regulation: 
(a) 10% reduction in compliance costs and time to comply for Starting a Business, Paying Taxes and Trading across Borders Doing Business indicators; 
(b) Sector specific regulatory reforms in sectors identified by Private Sector Diagnostic/Sector Scans and Enterprise Survey (due in 2018) where RSA has competitive advantages in generating investment.

2. Investment Policy and Promotion:
(a) A blueprint for reform and at least one reform each to address current policy, institutional, legal and regulatory barriers to FDI; 
(b) Design and deployment of an institutional reform strategy for investment promotion; 
(c) Design and deployment of an investor-State conflict management mechanism that will enable the GoSA and investors to address any grievances well before they escalate into full blown legal disputes; 
(d) A national strategy on investment promotion, including generation of investment into Industrial Parks; 
(e) Review of Government Policy on linkages and local supplier development.

3. Competition Policy/Market Regulation: 
(a) Identification of policy and regulatory obstacles to entry and competition in 2 sectors; 
(b) Design tools to strengthen competition law enforcement and advocacy by the Competition Authorities; 
(c) Deployment of an evidence-based engagement framework on competition issues in order to support advocacy to address barriers to competition

4. Private Sector Diagnostics and Analysis: 
(a) Identification of key opportunities for promoting private sector investment through the Country Private Sector Diagnostic and Sectors Scans.
",,,,,,,,,,,,,,,602781,,,Other,,2017-12-20T05:00:00Z,2018-01-01T05:00:00Z
1400,Banque Misr BOW,Advisory Services,,Active,Africa,"Egypt, Arab Republic of",,,2019-02-27T05:00:00Z,,,,"To assist the bank increase its outreach and support Egypt's micro, small and medium enterprise (MSME) sector, with particular focus on women-owned/women-led MSMEs. IFC will work with the client on: designing a women banking model, understanding the identified segments' needs, and developing a value proposition for untapped segments in Egypt.",,,,,,"The objective of this project is to develop and establish sufficient operational capacity within Banque Misr to cater to micro, small and medium enterprises (MSME) banking needs, with particular focus on women-owned/women-led MSMEs. This will allow it to expand its outreach and support Egypt's MSME sector and other untapped segments in Egypt.",,,,,,,,,,,,,,,603200,,,Financial Institutions Group,,2018-05-24T04:00:00Z,
1401,Ukraine EE Fund,Advisory Services,,Active,Europe,Ukraine,,,2019-02-22T05:00:00Z,,,,"The Government of Ukraine has established the Energy Efficiency Fund (EEF) to support energy efficient (EE) modernization of Ukraine's residential housing stock. The EEF will be funded by the Government of Ukraine and will provide grants to homeowners of multi-family buildings to perform EE retrofits in their buildings. To support the Government of Ukraine, the European Union and the Federal Republic of Germany have contributed EUR 100 million into an IFC-managed multi-donor trust fund (MDTF) to provide grant assistance to HOAs to co-finance the implementation of energy efficiency measures in multi-family buildings.
To support the EEF, IFC has launched a comprehensive advisory services project (the Project) that aims to support the EEF, manage donors' contributions and create a market environment conducive for facilitating energy efficient renovation of multi-family buildings in Ukraine. The Project aims to support the EEF in disbursing grants to approximately 5,900 homeowners' associations (HOAs) to co-finance energy efficient renovation in their multi-family buildings facilitating total investment of about $235 million.

The Project is funded by the European Union and will be focused on the following:

1.	Supporting the setup and operations of EEF, the innovative instrument for energy efficiency improvements in the residential sector in Ukraine. 
IFC will work with EEF to ensure a proper and transparent governance framework is in place to channel grants to HOAs through partner financial institutions. IFC will also share responsibility with EEF in reviewing grant applications. 

2.	Raising awareness of house-owner associations (HOAs) about benefits of energy efficiency improvements of their buildings and how EEF can help, as well as assisting HOAs to prepare applications for partial grants. 

IFC will carry country-wide awareness-raising campaign and, through its network of regional advisors, will be working with around 6,000 HOAs to support them throughout the grant application process.

3.	Partnering with financial institutions to help them design residential energy efficiency loan products for HOAs, as well as services that are aligned to EEF's grant approval and disbursement process.

4.	Managing the multi-donor trust fund setup to provide grants to HOAs alongside EEF.",,,,,,"It is expected that by the year 2025 the Project will facilitate at least USD 117 million of investments into energy efficient renovation of multi-family buildings in Ukraine. These investments are expected to result in energy efficiency improvements in about 1,000 buildings and direct emissions reductions of about 69,000 tons of CO2 per year.",,,,,,,,,,,,,,,602817,,,Other,,2018-09-18T04:00:00Z,2018-10-01T04:00:00Z
1402,Schools Jordan,Advisory Services,,Active,Middle East,Jordan,,,2019-02-17T05:00:00Z,,,,"Jordan's Ministry of Education (MoE) aims to implement a multi-year program to build up to 600 new schools to alleviate the shortage of schools in the country. This program will be implemented over the next decade, and IFC will work jointly with the European Bank for Reconstruction and Development (EBRD) to provide transaction advisory support to MoE to design and implement a pilot project comprising the design, financing, construction, and maintenance of elementary and secondary schools under a Public Private Partnership model.",,,,,,"The pilot project is expected to increase children's access to education by alleviating school shortages and improving the quality of their learning environment by reducing the number of overcrowded class rooms and rented schools. The project is expected to mobilize private financing to fund the capital investment needed to build, equip, maintain and provide non-pedagogical services.",,,,,,,,,,,,,,,602965,,,Transaction Advisory,,2018-07-28T04:00:00Z,2019-01-01T05:00:00Z
1403,Ethiopia Trade,Advisory Services,,Active,Africa,Ethiopia,,,2019-02-15T05:00:00Z,,,,"With a broader aim of improving Ethiopia's logistics landscape by among others reducing the time and cost of trade, the project aims to support the Ethiopian Customs Commission and the Ethiopian Maritime Affairs Authority in the implementation of improved customs services as well as the implementation of the recently adopted National Logistics Strategy (Sept 2018).",,,,,,The Project aims to improve Ethiopia's customs and logistics  landscape by among others reducing the time and  cost of trading across boarders  (e.g.) reducing documentary requirements to trade and enhancing competitiveness of the logistics sector inline with the recently adopted National Logistics Strategy (Sept 2018).,,,,,,,,,,,,,,,602827,,,Other,,2018-09-06T04:00:00Z,2018-07-01T04:00:00Z
1404,Ethiopia Tourism,Advisory Services,,Active,Africa,Ethiopia,,,2019-02-15T05:00:00Z,,,,"The project has three main components that aim improve the performance of the tourism sector in Ethiopia through institutional strengthening, improved management of Meetings Conferences and Events (MICE), and the launching of stopover tourism. Each component will include capacity building and be support by strong industry analysis and data collection.",,,,,,The overarching objective of this project is to enhance competitiveness of the tourism sector in Ethiopia through more strategic management of Meetings Conferences and Events (MICE) and stop-over tourism.,,,,,,,,,,,,,,,603504,,,Other,,2018-08-23T04:00:00Z,2018-09-01T04:00:00Z
1405,Ethiopia CRP - 3,Advisory Services,,Completed,Africa,Ethiopia,,,2019-02-13T05:00:00Z,,,,"The goal of this project is to support the National Bank of Ethiopia and its stakeholders to strengthen and expand the credit information sharing system in Ethiopia, through the facilitation of technical support and activities to integrate Microfinance, Capital Goods Finance Companies and other lender participation to the NBE Credit Bureau, increase consumer awareness and financial literacy on credit reporting, and provide capacity building to stakeholders to ensure uptake of the Credit Bureau services over the long term. All with a view to increasing access to finance for MSMEs and consumers. Improved quality of credit data will help lenders to make better informed lending decisions and improve their risk management practices whilst at the same time promoting responsible lending and preventing over indebtedness.",,,,,,"Through this project, IFC will work with the central bank (National Bank of Ethiopia), NBE Credit Bureau and lenders in an honest broker capacity to provide technical support to these stakeholders for the improvement of Ethiopia's credit reporting system. IFC will provide capacity building to the regulator and lenders to integrate Microfinance, Capital Goods Finance Companies and other lenders to the NBE Credit Bureau and optimization of credit information in lending decisions. The aim is to expand credit information sharing and improve the impact it has on access to finance and overall economic growth in Ethiopia.",,,,,,,,,,,,,,,602992,,,Other,,2018-05-10T04:00:00Z,2018-05-15T04:00:00Z
1406,SSA Climate Fin,Advisory Services,,Active,Africa,Africa Region,,,2019-02-13T05:00:00Z,,,,"The objective of this program is to support climate investments and help financial institutions in SSA to integrate climate finance in their lending business, i.e. extending loans to SMEs, Corporates, and households for energy efficiency, clean energy, green buildings, green housing, and climate smart agriculture investments. This is in the context of growing demand in the region for more reliable electricity supply, better equipment and machineries for production and services, less energy and water intensive commercial and residential buildings, and more resilient agri-business- which all are critical for SSA socio-economic development.

The program objective is to be achieved by: i) generating market intelligence on climate-smart opportunities in specific sectors that FIs target; ii) providing technical support for FIs in building suitable strategies, aligning/improving products to serve the green finance needs of their clients, and training FI staff on climate investment due diligence, portfolio monitoring and impact reporting; and iii) supporting outreach and awareness raising for FI target clients (i.e. SMEs, corporates, HH businesses) to understand the feasibility and benefits of climate-smart investments that can save costs and reduce environmental footprint or increase resilience capacity at the same time. Wherever relevant, the program will also facilitate partnerships with banking associations, industry associations, technical service organizations and technology providers to help with project pipeline generation for FIs to finance.",,,,,,"At the completion, the program success will be measured by the following indicators:
- 15 FIs supported in portfolio reviews & diagnostics to assess the possibility and suitability of their engagement in climate finance (including green bonds). 
- 7 FIs using IFC climate finance investment facilities. At lease 5 FIs provided with in-depth capacity building support
- $100 million of new climate finance portfolio committed by supported FIs 
- GHG avoidance of 100,000 tons/year",,,,,,,,,,,,,,,601402,,,Financial Institutions Group,,2018-06-13T04:00:00Z,2018-07-02T04:00:00Z
1407,Rain Sensors,Advisory Services,,Completed,Global,World Region,,,2019-02-13T05:00:00Z,,,,"The objective of this proposed R&D is to test and ultimately implement a practical & cost effective way to integrate rain-sensors, to measure rainfall/precipitation, currently available in the market to the roof-top solar energy panel systems that are being rolled out in many countries and regions globally including the Lighting Africa project (LA project).  

With this enhanced rainfall data, we can address one of the prevailing challenges identified by the financial and insurance market in fostering and enhancing the development of sustainable parametric (weather index) insurance products through the provision of this required data.

The proposed R&D would benefit from the established infrastructure of the LA project by enhancing this systems monitoring capability with sensors to monitor and capture rainfall data (in addition to the radiation and temperature data already being collected on a real time basis).

To achieve this objective the project structured into 2 phases:

Phase 1: Technical development of Monitoring devices connected to the solar panels
Traditional rain gauges are expensive and due to their design not fraud free. It is therefore interesting to develop a simple rain monitoring system that is less fraud prone and can be incorporated into PV modules. 

To develop the rainfall sensor system on PV modules, the project (R&D) will test the different available sensors and install them on a test PV panel, and compared with measurements achieved using a standard rain-gauge. This will enable the project to correlate the new measurement system with standard systems in order to assess the quality of data that can be obtained.

Phase 2: Business model and Data dissemination
a) larger pilot test roll out in multiple locations & countries; b) developing a business plan for commercialization of Rain Sensors to be installed with PV Panels; c) formalizing a partnership with the LA project and its suppliers (of PV Solar Panels) for installation of Rain Sensors;
d) finalizing the data collection and data sharing protocols in consultation with the LA Project, which is currently collecting data on temperature and radiation from sensors installed on the PV Solar panels; e) Develop a portal dedicated for weather (rainfall and temperature) data sharing.",,,,,,"The objective of this proposed R&D is to test and ultimately implement a practical & cost effective way to integrate rain-sensors, to measure rainfall/precipitation, currently available in the market to the roof-top solar energy panel systems that are being rolled out in many countries and regions globally including the Lighting Africa project (LA project).  

With this enhanced rainfall data, we can address one of the prevailing challenges identified by the financial and insurance market in fostering and enhancing the development of sustainable parametric (weather index) insurance products through the provision of this required data.

The proposed R&D would benefit from the established infrastructure of the LA project by enhancing this systems monitoring capability with sensors to monitor and capture rainfall data (in addition to the radiation and temperature data already being collected on a real time basis).",,,,,,,,,,,,,,,601838,,,Other,,2017-05-21T04:00:00Z,2017-06-01T04:00:00Z
1408,Rawbank Risk,Advisory Services,,Active,Africa,"Congo, Democratic Republic of",,,2019-02-13T05:00:00Z,,,,"The primary objective of the project is to strengthen Client's Risk Management framework on the outstanding items relating to the establishment of the Follow-up on Audit Findings and Audit Coverage while items still to be decided on by management relate to Risk Appetite Framework, ICAAP.",,,,,,"Client is currently a large bank in DRC in terms of total assets and deposits.  The project aims to strengthen its Risk Management and governance framework which would support its continued growth, and in future facilitate its planned regional expansion.",,,,,,,,,,,,,,,602824,,,Financial Institutions Group,,2018-07-26T04:00:00Z,2018-06-01T04:00:00Z
1409,LG II,Advisory Services,,Active,Global,World Region,,,2019-02-07T05:00:00Z,,,,"About one billion people globally lack access to energy. By 2030, 650 million people are expected to remain without energy access, almost all of whom will live in rural sub-Saharan Africa.
IFC will help maintain and develop market based approaches for off-grid lighting and energy products globally through provision of market information, targeted advisory services to Pay As You Go (PAYGO) companies, and select off grid manufacturers and distributors. In partnerships with the Off-Grid Lighting Association (GOGLA) and CGAP, IFC will work with industry and investors towards a PAYGO performance, reporting and measurement framework to increase transparency and eventually unlock capital for the sector.  
IFC will help sustain adoption of off-grid quality standards (IEC 62257-9-5), which IFC helped create. It will do so by promoting these standards with Chinese manufacturers. It will preserve the standards through its partnership with CLASP, the leading resource for appliance energy efficiency policies, which is implementing the standards across several governments globally. The program will also continue to provide market insights and intelligence through its research activities to inform the industry's strategy and business plans.
IFC will leverage its ten-year experience in the private sector off-grid markets to endorse market-based approaches to development partners related to the design and implementation of their off-grid programs. 
Expected Development Impact for Public Disclosure
The objective of this project is to support and maintain the development of market-based approaches for off-grid lighting and energy to ultimately increase access for households across off-grid markets. The key outcome of this project will be:

-  adoption of off-grid quality standards (IEC 62257-9-5), especially by manufacturers in China
-  Provide a range of market insights and intelligence within the off-grid lighting and energy sector and including emerging opportunities in related productive use appliances using solar.
- develop industry performance and measurement framework in conjunction with investors and companies to mobilize investment",,,,,,"The project is expected to contribute to the following: 

- Increased adoption of quality standards (IEC 62257-9-5) globally and especially by Chinese manufacturers 
- Increased transparency in reporting by and to investors and PAYGO companies ultimately unlocking commercial funding
- Incorporation of recommendations, made by IFC to development partners, into the design and implementation of their off-grid lighting and energy programs to follow a market-based and sustainable approach to energy access",,,,,,,,,,,,,,,602073,,,Infrastructure and Natural Resources,,2018-01-30T05:00:00Z,2018-02-01T05:00:00Z
