Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
PNG SME Tax,Advisory Services,"",Completed,East Asia and the Pacific,Papua New Guinea,"","",2017-04-24T04:00:00Z,"","","","The project team will work with the PNG Internal Revenue Commission to streamline and simplify tax compliance requirements for small and medium sized businesses by reviewing and simplifying processes (forms, payment processes, audit procedures),  assisting the IRC to undertake outreach and communication to SMEs in PNG and assessing the need for a special, simplified regime for SMEs.","","","","","",This project will work with the government of PNG to identify and implement reforms to simplify and streamline tax processes for small and medium enterprises. The result will be a reduction in the time and cost to comply with tax regulation.,"","","","","","","","","","","","","","",592867,"","",Trade and Competitiveness,"",2015-02-16T05:00:00Z,2015-02-16T05:00:00Z
Public Service Delivery,Advisory Services,"",Completed,Middle East and North Africa,Morocco,"","",2017-04-24T04:00:00Z,"","","","Over three years, the project will provide assistance to the Government of Morocco across areas identified as key concerns through public-private dialogue. These areas are characterized by an apparent discrepancy in regulatory implementation as well as an absence of comprehensive measurements available to quantify this gap.  They were also identified through the National Committee for the Business Environment  as constituting a bottleneck for companies. The areas of intervention will be: 

1. Public procurement payment delays
2. Construction permits

To address these issues, the project will follow a common methodology based on the following components: 

A. Diagnostics to determine bottlenecks and underlying problematic processes and regulations throughout the procedural chain.

B. Design and dissemination of indicators to measure the efficiency and predictability of public service delivery to private sector.

C. Recommendations for improvements that can increase predictability,  reduce the discretionary margin and improve quality of service performance based on the findings.

The work will entail the adoption of innovative approaches in terms of measurement as well as reform recommendations.  The team will customize the methodological approach to each of the areas  based on existing systems and capacities of the implementing agencies,  as well as the needs and availability of existing data.","","","","","","This project intends to support the Government of Morocco in improving the quality of service provision by measuring and reducing the gap between regulations and their application over a three-year period, thereby increasing transparency and promoting predictability of service provision. 

The project will support the Government of Morocco across several areas (construction permits and public procurement payment delays) in piloting a set of indicators measuring the efficiency and transparency of public service delivery. The introduction and public dissemination of such measures will aim at increasing regulatory transparency, enabling performance monitoring, and establishing a consistent implementation of regulations across the economy.  The project will also propose reforms to bridge the observed gap between laws and their implementation, and support the Government of Morocco  in building awareness around these issues.","","","","","","","","","","","","","","",599527,"","",Trade and Competitiveness,"",2013-11-22T05:00:00Z,2013-12-01T05:00:00Z
ECA Trade Faciliation Support Program,Advisory Services,"",Active,Europe and Central Asia,Central Asia Region,"","",2017-04-26T04:00:00Z,"","","","ECA TFSP is a rapid response tool to help countries align with the requirements of the World Trade Organizations Trade Facilitation Agreement, which entered into force in February 2017.   The activities envisaged under ECA TFSP can be categorized into two components  1) public private dialog, transparency, and border agency collaboration and 2) activities directly supporting the expedited clearance of cargo.   The program will also support peer to peer learning events.  The ECA TFSP program is open to all countries of the ECA region, with priority given to IDA countries.","","","","","","As a quick response mechanism, ECA TFSP responds to requests from governments in the ECA region for immediate help with aligning rules and regulations, and implementation capacity, with the requirements of the WTO Trade Facilitation Agreement.  ECA TFSP also helps design, and initiate implementation, of medium term reform programs targeting more difficult reform areas.","","","","","","","","","","","","","","",601446,"","",Trade and Competitiveness,"",2016-11-04T04:00:00Z,2016-12-01T05:00:00Z
Ethiopia STCR,Advisory Services,"",Active,Africa,Ethiopia,"","",2017-05-18T04:00:00Z,"","","","The project is essentially the provision of technical assistance to enact best practice for secured transactions and collateral registry laws and regulations. Additionally, the project will develop a modern collateral registry for security interests in moveable property and launch of the registry operations. Further, the project will include the implementation of a communication and training plan on the reforms undertaken, specifically targeted at relevant public and private sector stakeholders.","","","","","","The objective of the Project is to increase access to credit for businesses, mostly small and medium sized enterprises (SMEs) in Ethiopia by developing a sound legal, regulatory and institutional framework for movable assets based lending founded on international good practices.","","","","","","","","","","","","","","",601522,"","",Finance and Markets,"",2016-05-14T04:00:00Z,2016-05-02T04:00:00Z
Ethiopia Nespresso,Advisory Services,"",Completed,Africa,Ethiopia,"","",2017-05-18T04:00:00Z,"","","","IFC is complementing a loan transaction to Nespresso with an Advisory Services initiative to increase farmer productivity by integrating a broad range of ecological considerations and wildlife preservation in the region of Oromia (Ethiopia). The initiative is possible due to an alliance with the BioCarbon Fund from the World Bank in which grant funds will be used to train coffee farmers with practices that will meet Nespresso's AAA Sustainable Quality program.  Smallholders participating in the project will be trained with skills to better manage the coffee crop, on benefits in using shade trees, prevention of deforestation and improving the quality of coffee produced. The improved agronomic, environmental and social practices will ultimately improve livelihoods of coffee farmers and their families.","","","","","","The overall goal of the project is to improve agricultural, environmental and social practices that will enable  smallholder farmers in Oromia, Ethiopia, to be more profitable due to increased productivity from the same area in production, improvements in the quality of the coffee produced while protecting the environment and preventing deforestation. Arabica coffee in Ethiopia is characterized by the presence of smallholders with low average yields in a production system where coffee is a key driver of household income. By introducing improved practices that meet Nespresso's AAA Sustainable Quality Program, coffee farmers will start planting local indigenous shade trees within the coffee crop and agronomic practices to rejuvenate the crop to increase crop productivity.","","","","","","","","","","","","","","",601633,"","","Manufacturing, Agribusiness & Services","",2016-07-27T04:00:00Z,2016-07-01T04:00:00Z
AfSME Prog,Advisory Services,"",Completed,Africa,Kenya,"","",2017-05-18T04:00:00Z,"","","","Project Description

In Sub-Saharan Africa, SMEs make up more than 95 percent of all firms and excluding the ones operating in the informal sector. SME growth has the potential to provide millions with economic and development opportunities in Sub-Saharan Africa. However, this is often hampered by SMEs inability to grow to full commercial potential and/or engage in the value chains of larger corporates. According to the IFC/World Bank Enterprise Survey 2006-2010, the constraints most cited by SMEs in Sub-Saharan Africa include: Access to electricity; Access to finance; Business environment; Technical and business skills and Awareness of market standards and opportunities.

This project responds primarily to demand from Financial Institutions for support to maximize the reach and effectiveness of Non-Financial Services (""NFS"") to SMEs. The project will directly support FIs, Real sector corporates, groups of firms, Implementing partners and Key Stakeholders to create an Ecosystem that qualifies and sustains the growth of SMEs to access markets/value chains and suitable finance. Specifically, IFC will partner with:  1) Financial Institutions to enhance the readiness of SMEs to engage with both FIs and Real Sector clients by providing them customized advisory services through those FIs and Real Sector Clients; 2) Real sector corporate clients directly or Corporates on the portfolio of FIs to improve the performance of the SMEs in their value chains; 3) Intermediaries and stakeholders in CASA/FCS to improve the SME Ecosystem to access markets/value chains, skills development and access to finance and 4) Business Development Services Providers and other institutions to strengthening their capacity to provide better services to Corporates and to SMEs.","","","","","","This program is expected to contribute to SME development through the provision of:

Expanded Non-Financial Services to enable SMEs access suitable finance, networking/mentoring, information dissemination and consulting training.
Expanded value chain engagements with corporates and multinational companies to expand business opportunities for SMEs.
Leverage Intermediaries and stakeholders to improve the Ecosystem for SMEs via training and other platforms.
Expanded capacity of local trainers to provide structured business management and techincal/industry standard training to SME for business opportunities.
Expand capacity for business and sector specific market information dissemination via SME Toolkit and other platforms to SMEs.","","","","","","","","","","","","","","",600844,"","",Cross-Industry Advisory Services,"",2015-01-30T05:00:00Z,2015-01-26T05:00:00Z
Olam CI,Advisory Services,"",Active,Africa,Cote D'Ivoire,"","",2017-05-18T04:00:00Z,"","","","By the end of project implementation, the objective will be achieved through two distinct interventions at the Company and Cooperative levels:

1. Build capacity of a core set of master trainers within the Company, so they can effectively equip cooperatives and producer associations with enhanced business management skills to improve overall
cooperative performance and increase sustainability in the supply chain.

2. Facilitate cooperative access to pre-harvest input and asset financing by using benchmarking tools on professionalism and creditworthiness, accompanied by targeted coaching assistance. This will enable cooperatives to improve their business performance benchmarking scores, and enable commercial input and asset financing for at the cooperatives.","","","","","","The overall objective of this Project is to increase the reliability and the professionalism of Ivorian cocoa, coffee, and cotton cooperatives and producer associations as they grow and become more complex in Olam's supply chain, by benchmarking their performance and refining their business management skills. The Project will enable professionalized cooperatives to access commercial input and asset financing through a proposed IFC transaction consisting of a risk sharing facility through a local bank.","","","","","","","","","","","","","","",601116,"","","Manufacturing, Agribusiness & Services","",2016-01-06T05:00:00Z,2016-01-07T05:00:00Z
SME Finance Forum,Advisory Services,"",Active,World,United States,"","",2017-05-18T04:00:00Z,"","","","The SME Finance Forum, created by the G20 and managed by International Finance Corporation, promotes knowledge sharing, good practice and networking in SME finance.  Initially funded by some of the G20 countries and the Netherlands, the SME Finance Forum will be sustained as a membership association of financial institutions, fintech companies and development banks.","","","","","","The SME Finance Forum will become a global network of financial institutions that are committed to and will better serve the SMEs in emerging markets. The Forum aims to promote the sharing and adoption of knowledge and good practices in SME finance among its members through virtual and face-to-face knowledge events and networking events. By the end of the two-year project life cycle, the Forum expects to have at least 110 members and receive a total membership dues of at least $2 million which will then be used to provide more services to the members.","","","","","","","","","","","","","","",600795,"","",Financial Institutions Group,"",2015-04-13T04:00:00Z,2015-01-01T05:00:00Z
Khushhali Bank,Advisory Services,"",Completed,Middle East and North Africa,Pakistan,"","",2017-05-22T04:00:00Z,"","","","IFC will work with Khushhali Bank (KBL) to develop and pilot a micro-housing loan (MHL) product and leverage the results of the initial market survey performed by the bank.  The project will entail a scoping exercise, followed by product design, construction technical assistance,  pilot-testing, pilot review and roll out of the new MHL product.","","","","","","The overall objective of this project is to support Khushhali Bank (KBL) to develop and pilot a micro-housing loan product, which market research has shown is much needed among low- and middle-income housholds in Pakistan.  This project is expected to allow such households to obtain the much needed housing finance and, ultimately, improve their standard of living.","","","","","","","","","","","","","","",601570,"","",Financial Institutions Group,"",2016-04-19T04:00:00Z,2016-05-01T04:00:00Z
ENDA MIS,Advisory Services,"",Completed,Middle East and North Africa,Tunisia,"","",2017-05-22T04:00:00Z,"","","","In order to support ENDA Tamweel to implement a new and integrated MIS system, IFC will provide coaching and advice as the MFI undertakes five key activities related to procuring and implementing its new system: 

1. Gap Analysis, 
2. Determination of Cost of Modifications,
3. Contracting, 
4. Data Migration, and
5. Testing","","","","","","IFC will support ENDA Tamweel as it implements a new, integrated MIS system that can reduce the number of parallel systems and support its expansion and product diversification plans as part of ENDA's transformation into a for-profit company.","","","","","","","","","","","","","","",601699,"","",Financial Institutions Group,"",2016-06-13T04:00:00Z,2016-07-01T04:00:00Z
GISEC-Allianz,Advisory Services,"",Active,World,World Region,"","",2017-05-25T04:00:00Z,"","","","The Global Insurance Solutions for Emerging Clients (G-ISEC) Program is an incubator of innovative solutions in the microinsurance sector. It has a particular focus on health insurance for the low-income populations and low income/IDA countries. The Program supports: market-making or game-changing innovations; companies that leverage technology to further reach low-income (economically active poor) populations with insurance solutions; global partnerships that improve impact; and knowledge sharing  developing and disseminating evidence on effective Health Financing Solutions (HFS) and approaches.
 
The Allianz Group is a global financial services provider with services predominantly in the insurance and asset management business. Allianz Emerging Consumers Unit (in partnership with mobile technology providers and development partners) is leading the development of a health expenses product for low-income consumers globally. The goal of the GISEC-Allianz project is to design and implement a replicable and scalable savings-led and technology driven model for health care financing including microinsurance.","","","","","","The Global Insurance Solutions for Emerging Clients (G-ISEC) Program is an incubator of innovative solutions in the microinsurance sector. It has a particular focus on health insurance for low-income populations and low income/IDA countries. The Program supports: market-making or game-changing innovations; companies that leverage technology to further reach low-income (economically active poor) populations with insurance solutions; global partnerships that improve impact; and knowledge sharing  developing and disseminating evidence on effective Health Financing Solutions (HFS) and approaches. 

The Allianz Group is a global financial services provider with services predominantly in the insurance and asset management business. Allianz Emerging Consumers Unit (in partnership with mobile technology providers and development partners) is leading the development of a health expenses product for low-income consumers globally. The goal of the G-ISEC-Allianz project is to design and implement a replicable and scalable savings-led and technology-driven model for health care financing.","","","","","","","","","","","","","","",601783,"","",Finance and Markets,"",2016-12-19T05:00:00Z,2017-01-01T05:00:00Z
Nepal Shares,Advisory Services,"",Completed,South Asia,Nepal,"","",2017-05-25T04:00:00Z,"","","","This Local Shares study will contribute to consolidate global knowledge and help clarify understanding and outline challenges and pros and cons associated with different equity sharing schemes.  This will contribution will be in the form of a Public Good, that will address the following key issues: 
	- Definition of the Eligibility Criteria for Local Shares (the WHO). 
	- Design and implementation of the Community Shares in Nepal (the HOW).
	- Delivery mechanisms
	- When or what would the alternatives for the timing to allot/make available these shares
	- Governance aspects
	- Engagement and Communication
The study will be anchored by a Consultative Panel of diverse experts who will discuss and review drafts of the study.  Furthermore, stakeholders will be engaged throughout Nepal to feed into the study process.","","","","","","The overall goal of the program is to increase the share of new private sector investments in the hydropower sector in Nepal that adhere to good international industry practice environmental and social standards by 2021. The program's key objective is to analyse the risks and benefits to the local communities entitled to local equity shares and provide publicly available guidance through a knowledge product to all concerned stakeholders on the allocation processes of the shares, the risks and benefits. The program will facilitate investment in the hydropower sector by providing practical guidance on this existing policy, and supporting inclusive development of HPP in Nepal.","","","","","","","","","","","","","","",601861,"","","Environment, Social and Governance","",2016-09-28T04:00:00Z,2016-09-30T04:00:00Z
Lighting Myanmar,Advisory Services,"",Completed,East Asia and the Pacific,Myanmar,"","",2017-05-30T04:00:00Z,"","","","The goal of Lighting Myanmar is to support the creation of a sustainable commercial market for high-quality off-grid energy solutions in Myanmar. 

More than 65 percent of Myanmar's population has no access to grid-based energy services.  In rural areas, more than two thirds of households rely on candles, kerosene, batteries and diesel generators to meet their energy needs.  To address this, the Government of Myanmar, with the assistance of the World Bank Group and other donors, has adopted the National Electrification Plan (NEP), which aims to achieve universal access to sustainable electricity services by 2030 through a combination of grid extension and off-grid programs. 

The potential for commercial approaches to help meet this goal is strong, particularly in off-grid, and the NEP recognizes the need for private investment.  However, there are market challenges that have prevented deeper private involvement in Myanmar's off-grid sector, including: (1) insufficient market knowledge among private sector players; (2) lack of information for consumers on the quality of solar products; and (3) limited availability of financing for end consumers and companies.  Lighting Myanmar will support international and Myanmar-based companies to overcome these challenges and create a sustainable market for high-quality off-grid energy solutions, including solar lanterns, solar home systems, and potentially mini-grids. 

Drawing from experience in other Lighting Global programs, Lighting Myanmar will work with lighting product manufacturers, distributors, financial institutions, development partners, and the government in six areas: 
1. Quality assurance. The Lighting Global product quality standards were developed under Lighting Africa and have now been adopted as the international standards for off-grid solar lighting products. Lighting Myanmar will support the introduction of products meeting these standards in Myanmar and will work with government agencies and others to promote adoption of these standards where appropriate. 
2. Market intelligence. The project will conduct in-depth research on the off-grid market to inform the market strategies of Lighting Global Associates and their local partners. 
3. Business development support. This includes a number of activities to help Lighting Global Associates build productive partnerships in the market, including identifying potential local partners (e.g. distributors, retailers, financial institutions) and advising on strategies for entering the market. 
4. Consumer awareness. One of the core pillars of the project is implementation of widespread consumer awareness campaigns to stimulate demand for quality-verified off-grid lighting products. These will include multiple delivery channels, drawing on the experience from other Lighting programs. 
5. Regulatory and policy dialogue. To encourage policies that are supportive of private involvement in the market, Lighting Myanmar will engage in a dialogue with a range of government actors, as well as international development partners, on issues including subsidies, tariffs, and quality standards.  
6. Access to Finance. Lighting Myanmar will seek to address financing barriers, both for companies and end consumers, by working with local and international financial institutions to increase their involvement and develop solutions for the sector.","","","","","","The goal of Lighting Myanmar is to support the creation of a sustainable commercial market for high-quality off-grid energy solutions in Myanmar.  In doing so, it will help achieve two main impacts: 
1. Supplying reliable energy services to customers in off-grid rural areas and underserved urban areas through high quality solar products, including lanterns, solar home systems, and potentially mini-grids. 
2. Mitigating climate change by displacing fossil fuel-based sources of electricity generation, in particular kerosene and diesel. 

Intermediate outcomes will include increasing the public's awareness and understanding of quality standards for solar products; improving the policy and regulatory environment for the off-grid sector; and easing constraints on access to finance for off-grid companies and customers.","","","","","","","","","","","","","","",600863,"","",Cross-Industry Advisory Services,"",2016-05-24T04:00:00Z,2016-06-01T04:00:00Z
CFE Tunisie,Advisory Services,"",Active,Middle East and North Africa,Tunisia,"","",2017-05-30T04:00:00Z,"","","","IFC will be providing advisory services (AS) to support CFE Tunisie specifically in its efforts to: (i) ensure its sustainability by building necessary capacity and improving its breakeven point and business-model in line with its strategic positioning, (ii) roll out and ensure a viable product offering to serve the VSE segment in Tunisia, and (iii) better manage risks and enhance resilience.","","","","","","The objective of this project is to support the greenfield microfinance institution, Centre Financier aux Entrepreneurs (CFE) Tunisie, to scale up in a more sustainable manner and offer a well-adapted set of financial services to un- and/or under-served very small enterprises (VSEs), its target market.","","","","","","","","","","","","","","",601338,"","",Financial Institutions Group,"",2016-08-15T04:00:00Z,2016-08-01T04:00:00Z
Pakistan Hydro,Advisory Services,"",Active,Middle East and North Africa,Pakistan,"","",2017-05-30T04:00:00Z,"","","","IFC will take a landscape approach to addressing the complex context of hydropower development in Pakistan. As IFC is a key investor in four on-going hydropower projects, there is real opportunity through this advisory work to lead by example in providing important advice and guidance. It will do so by adopting an inclusive, multi-stakeholder approach to build capacity among local government, civil society, and the private sector to enable the adoption of good international industry practices of E&S standards. The program will also aim to address the overall governance of the entire Jhelum-Poonch watershed including laying foundations for institutional arrangements for integrated river basin management and commission important scientific studies to address data gaps including surveying of tributaries with significant data gaps and conducting environmental flows assessments in the watershed. 

The program focuses on two interlinked components over the two year period:
Component 1: Improve and enable application of good practice E&S standards to manage cumulative impacts of the cascade of hydropower projects in the Jhelum-Poonch watershed for sustainable hydropower development and strategic watershed management:

Ultimately this effort expects to help local authorities, together with project sponsors, academia, and environmental NGOs, achieve sustainable hydropower development and integrated watershed management of the Jhelum-Poonch Basin. The overall approach agreed includes: 

-Creation of offsets in the form of new protected areas in the watershed to secure appropriate conditions for the long term survival of key species . 
-Coordination of environmental flow management, focusing on adequate releases from dams, when feasible avoid peaking operation, and coordinated flushing of sediments.
-Preparation of guidelines and procedures for impact assessment, monitoring and adaptive management for all HPP in this watershed. 
-Development and strengthening capacity of key institutions, as the strategy will not succeed without strong institutions that have the legal mandate for protection of environment and biodiversity, and 
-Design of financial mechanisms to assure long term sustainability.

Component 2: Establish multi-stakeholder platforms (MSPs) to enable capacity in practical E&S risk management and adoption of IFCs Performance Standards.
This component will focus on the development of training materials and implementation of training events to provide technical support and capacity development to local government officials, civil society and the private sector (hydropower developers, consultants and EPC contractors) operating in the Jhelum and Indus watersheds.  This component provides the necessary foundations for the overall governance work to be implemented under Component 1. Specific areas of support include: (i) good international industry practices (GIIP) on hydropower and understanding of the IFC Performance Standards, (ii) cascade and sediment management, (iii) downstream flow regimes, (iv) biodiversity conservation and strategy implementation, (v) stakeholder engagement, (vi) labor and security issues, particularly in the context of local communities and livelihoods, and (vii) fish ladder, passes, hatcheries and re-stocking practices.

IFC will also support the formation of a Hydropower Developers Working Group and promote additionality to potential or existing IFC investment clients to enable the private sector adopt good international industry practices in E&S standards for the hydropower sector. This will improve the capacity of existing hydropower developers and provide expertise related to good international industry practices. The HDWG will provide a space for the private sector to influence policy by regularly engaging with the government through periodic joint meetings where IFC and the broader WBG is engaging on power sector reforms.","","","","","","The overall goal of the program is to increase the share of new private sector investments in the hydropower sector in the Jhelum Poonch Watershed in Pakistan  that adhere to good international industry practice environmental and social standards by 2021, as well as provide replicable and sustainably sound environmental and social outcomes.

a. GOP/Clients will improve and ensure application of good practice E&S standards to manage cumulative impacts of the cascade of hydropower projects in the JPW for sustainable hydropower development and strategic watershed management.


b. GOP/Clients will establish multi-stakeholder platforms (MSPs) to enable capacity in practical E&S risk management and adoption of IFC's Performance Standards.","","","","","","","","","","","","","","",601366,"","","Environment, Social and Governance","",2016-06-24T04:00:00Z,2016-07-01T04:00:00Z
Secured Transactions Framework,Advisory Services,"",Active,East Asia and the Pacific,Myanmar,"","",2017-05-30T04:00:00Z,"","","","To facilitate the development of a modern secured financing system in Myanmar, this project will focus on the following three areas:
(i) Support the Myanmar Government to improve the legal and regulatory framework for secured transactions by finalizing and implementing a Secured Transactions Law.
(ii) Support a relevant government agency to establish a centrolized and Web-based security interests registry.
(iii) Develop the initial capacity of the credit industry on movables lending.","","","","","","The project aims to improve access to credit by MSMEs through the development of a modern secured financing system based on movable assets. The project will work with the Central Bank of Myanmar (CBM) and other relevant stakeholders to build up the necessary foundations for movables finance. These include mainly the preparation of a secured transactions legislation, creation of a collateral registry and the development of the initial movables lending capacities.","","","","","","","","","","","","","","",600954,"","",Finance and Markets,"",2016-06-17T04:00:00Z,2016-07-01T04:00:00Z
GISEC-BEL-Models,Advisory Services,"",Hold,World,World Region,"","",2017-06-01T04:00:00Z,"","","","The Global Insurance Solutions for Emerging Clients (G-ISEC) Program is an incubator of innovative solutions in the microinsurance sector. It has a particular focus on health insurance for low-income populations and low income/IDA countries. The Program supports: market-making or game-changing innovations; companies that leverage technology to further reach low-income (economically active poor) populations with insurance solutions; global partnerships that improve impact; and knowledge sharing  developing and disseminating evidence on effective Health Financing Solutions (HFS) and approaches. 

Fromageries BEL (BEL) is a leading branded cheese producer and distributor with vast global operations; factories and subsidiaries in 35 countries and sales in 130 countries. Historically strong in Europe, BEL is focusing on expanding its operations in Africa and South-East Asia.

Realizing the large untapped market lying in the informal bottom-of-the-pyramid (BoP) segment of those economies, BEL identified the need to craft an innovative value-added product and comprehensive approach to access those consumers. The Sharing Cities (SC) Program was created to leverage existing networks of fruit & vegetable streets vendors, predominantly women, to sell BELs products. In line with the BoPs ethos of mutual value creation (for the people at the bottom of the pyramid  vendors and consumers  and for the company), BEL has set up a Social Impact (SI) Platform offering social protection (health insurance), technical training courses (on food safety & financial education), microloans and support for administrative formalization. 

The goal of the G-ISEC-BEL project is to design and implement replicable and scalable models of innovative health financing for the informal sector.","","","","","","The Global Insurance Solutions for Emerging Clients (G-ISEC) Program is an incubator of innovative solutions in the microinsurance sector. It has a particular focus on health insurance for low-income populations and low income/IDA countries. The Program supports: market-making or game-changing innovations; companies that leverage technology to further reach low-income (economically active poor) populations with insurance solutions; global partnerships that improve impact; and knowledge sharing  developing and disseminating evidence on effective Health Financing Solutions (HFS) and approaches. 

Fromageries BEL (BEL) is a leading branded cheese producer and distributor with vast global operations; factories and subsidiaries in 35 countries and sales in 130 countries. Historically strong in Europe, BEL is focusing on expanding its operations in Africa and South-East Asia.

Realizing the large untapped market lying in the informal bottom-of-the-pyramid (BoP) segment of those economies, BEL identified the need to craft an innovative value-added product and comprehensive approach to access those consumers. The Sharing Cities (SC) Program was created to leverage existing networks of fruit & vegetable streets vendors, predominantly women, to sell BELs products. In line with the BoPs ethos of mutual value creation (for the people at the bottom of the pyramid  vendors and consumers  and for the company), BEL has set up a Social Impact (SI) Platform offering social protection (health insurance), technical training courses (on food safety & financial education), and support for administrative formalization. 

The goal of the G-ISEC-BEL project is to design and implement replicable and scalable models of innovative health financing for the informal sector.","","","","","","","","","","","","","","",601782,"","",Finance and Markets,"",2017-01-31T05:00:00Z,2017-01-01T05:00:00Z
AfSME West & C,Advisory Services,"",Completed,Africa,Ghana,"","",2017-06-13T04:00:00Z,"","","","The project will directly engage with FIs, Real sector corporates, SMEs, Trainers, Intermediaries and Key Stakeholders to create an Ecosystem that qualifies and sustains the growth of SMEs to access markets/value chains and suitable finance.
Through the following components the West and Central Africa SME program will:
1.  Engage Financial Institutions to expand their Non-Financial Services (""NFS"") activity for SMEs.
2.     Engage IFC's Real sector corporate clients directly or Corporates on the portfolio of FIs (as in component 1) to increase SMEs in their value chains.  Most corporates are looking to the SME sector to extend their reach and market share beyond their current segments.
3. Engage intermediaries and stakeholders in FCS/other to improve the SME Ecosystem to access markets/value chains and suitable finance.    In FCS and other non FCS countries like Cape Verde, where there may be no FI or Real Sector clients, stakeholder intermediaries like ADEI and Growth Pole Initiatives of the World Bank that have a network of FIs and Multinational companies (""MNCs"") targeting SMEs are potential clients/partners in discussion to support SMEs access viable markets and suitable finance.  
4)  Support the development of a platform of business development services and services providers, a platform of information and e-learning services. This includes the strengthening of the capacity of Local Business Edge and SME Toolkit partners by providing capacity building to certified and potential trainers, develop new content and link them to FIs, Corporates and Intermediaries/stakeholders
IFC's Business Edge (Face to Face training) includes manuals and workbooks for 6 areas: Financial Management and Accounting, Human Resource Management,  General and Operations Management, Personal Productivity Skills,  Tourism and Hospitality and the latest content produced in SSA region, called Governance while the  SME Toolkit  (on line platform) provides an information dissemination structure and quality assurance to SME training and also provides standardized templates to encourage SMEs to formalize records of their operations etc.","","","","","","The project will engage withTrainers, Intermediaries and Key Stakeholders to create an Ecosystem that qualifies and sustains the growth of SMEs to access markets/value chains and suitable finance.
33 training providers receiving in depth training and advisory services with tangible results in terms of reporting improved performance. 
-	A number of BE Trainers identified and certified with profiles compatible with the client focus approach and;
-	For all partners for West and Central Africa (new identified and existing partners), agreements renewed and fees collected.","","","","","","","","","","","","","","",600726,"","",Cross-Industry Advisory Services,"",2015-01-30T05:00:00Z,2015-02-01T05:00:00Z
Smallholder Water Management and Irrigation Project,Advisory Services,"",Active,Africa,Burkina Faso,"","",2017-06-13T04:00:00Z,"","","","The objective of the project is to help farmers better manage water risks and increase their financial return through (a) reducing soil erosion, (b) collecting runoff in small reservoirs for later usage, using irrigation equipment, and (c) promoting Good Agricultural Practices in soil and water management.  The project will work with around 1000 farmers to provide training, technical support and facilitation of access to finance.  The farmers? training will be delivered by SOFITEX's trainers who are mandated by the Government to provide technical training to cotton farmers. Women will be trained separately from men.  Technical support will be provided through certified service providers to help prepare land and install irrigation equipment, but for the simpler construction of stone contour lines, the farmers will have the option to build them or to hire service providers. In the latter case, farmers will nonetheless be required to provide a minimal amount of labor to ensure ownership.   
To facilitate access to finance for farmers, the project will work with SOFITEX's network of financial institutions, whose role will be to pre-finance the anti-erosive infrastructure and the irrigation equipment. In order to make the financing conditions affordable to farmers, the Global Partnership for Output-Based Aid (GPOBA), a department of the World Bank, will support farmers with a subsidy covering between 70% and 80% of the cost of investment. Farmers will contribute to the costs of the systems through loan commitments to cover between 20% and 30% of the project costs.","","","","","","The Burkina Faso Smallholder Water Management and Irrigation Project (BFSIP) is the first irrigation project to be jointly launched by IFC and the World Bank as part the Sahel Irrigation Initiative (SII) Program. The BFSIP?s objective is to prove the benefits of soil water management by providing support to SOFITEXs cotton producers. Targeted outcomes include increasing the quantity of cotton supply, climate resilience, and the sustainability of cotton production within the company's supply chain, as well as increase the financial return of farmers.  The project will focus on establishing a compelling case for the private sector to scale up proven activities in the next phase.  This includes direct engagement with financial institutions for lending to farmers, and with SOFITEX for extension of training and capacity building within its supply chain.","","","","","","","","","","","","","","",601113,"","","Manufacturing, Agribusiness & Services","",2016-08-18T04:00:00Z,2016-08-19T04:00:00Z
