Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Uzbek  Solar,Advisory Services,"",Completed,Europe,Uzbekistan,"","",2019-05-21T04:00:00Z,"","","","IFC will assist the Government of Uzbekistan to attract private sector participation on competitive basis for  the development, financing and operation of solar PV plants of up to 100MW on a site to be selected by the Client.","","","","","","The project will result in: i) private sector participation and investment in the power generation sector of Uzbekistan, ii)  increased power generation from renewable energy; iii) improved services to the end users.","","","","","","","","","","","","","","",602154,"","",Transaction Advisory,"",2018-06-08T04:00:00Z,2018-05-17T04:00:00Z
KIF Phase II,Advisory Services,"",Completed,East Asia and the Pacific,Timor-Leste,"","",2019-05-21T04:00:00Z,"","","",The project will support Kaebauk Investimentu no Finansas build a suite of digital financial services offering by launching a mobile and agent banking operation by an Other Deposit Taking Institution in Timor-Leste. This project is supported by the Department of Foreign Affairs and Trade (DFAT)-Australia Financial Inclusion Program in Timor-Leste.,"","","","","","The project will support Kaebauk Investimentu no Finansas (KIF), Timor-Leste's first Other Deposit Taking Institution pioneer digital financial services in the country by launching mobile and agent banking operations. The aim is to promote financial inclusion and address gaps related to access to financial services for the unbanked mass market in Timor-Leste with a focus on women and farmers.","","","","","","","","","","","","","","",602604,"","",Financial Institutions Group,"",2018-06-17T04:00:00Z,2018-07-01T04:00:00Z
Pichincha GI SME,Advisory Services,"",Completed,Latin America and the Caribbean,Ecuador,"","",2019-05-21T04:00:00Z,"","","",The project include support in the following aspects: (i) optimize SME's credit process with focus on loan origination and (ii) strengthen the Client's SME business management,"","","","","",The expected impact of this project is to strengthen the client's SME business model and help to contribute to SME's access to financial services.,"","","","","","","","","","","","","","",603058,"","",Financial Institutions Group,"",2018-02-19T05:00:00Z,2018-09-01T04:00:00Z
BCC Supply Chain,Advisory Services,"",Active,Europe,Kazakhstan,"","",2019-05-21T04:00:00Z,"","","","Through this project IFC will support the development of a Supply Chain Finance market in Kazakhstan through the advisory intervention with one large bank in Kazakhstan (Bank CenterCredit or BCC) to develop a Supply Chain Finance (SCF) program. Under the broader framework of engaging with BCC, IFC will work on researching the regulatory environment governing SCF and engaging various key players in the market such as bankers' associations, central bank, associations of SMEs and corporates. This program would be the first in its nature in the country and drive the development of the entire SCF market.","","","","","","The project aims to support the development of a Supply Chain Finance market in Kazakhstan, by engaging with one of the largest banks in the country (Bank CenterCredit or BCC) to develop this product. Under the broader framework, IFC will engage with key players in the market to raise awareness and obtain stakeholder support in developing a Supply Chain Finance (SCF) program. This program would be the first of its kind in the country and aims to demonstrate the viability of the SCF market in Kazakhstan. 

The project is expected to achieve its objectives and SCF engagement with Bank CenterCredit will entail developing: 
	An SCF business model that incorporates the market opportunity, provides a buyer/supplier segmentation methodology, identifies distribution channels, designs a sales & service model and undertakes business and financial forecasting. Any regulatory and legal issues will also be studied to ensure proper mitigation of any risks arising from this.
	An SCF product program to respond to buyer/supplier/distributor financing needs.
	Recommendations for an appropriate technology platform to achieve automation, efficiency and expected volumes for the SCF business.
	A credit risk framework to increase efficiencies through an SCF segment application scorecard and an SCF segment behavioral scoring.
	Streamline and standardize the sales and on-boarding process for both corporate customers and their suppliers and distributors before launch of pilot. IFC experts will closely support the bank during the pilot.
	Training for the Bank's teams to enable effective delivery of the SCF program.
	Pilot of the SCF program with selected buyers/suppliers and roadmap for the program scale up. 

Market level support:
	Quantify the market opportunity in SCF.
	Map out industries/sectors with the highest potential for SCF.
	Educate the regulator about the program benefits for the economy, its structure and the necessary enabling eco-system.
	Educate other market participants, such as corporates, SMEs, and other FIs, about the program's benefits and structure.



","","","","","","","","","","","","","","",603810,"","",Financial Institutions Group,"",2019-04-19T04:00:00Z,2019-03-31T04:00:00Z
BHDL TB,Advisory Services,"",Active,Latin America and the Caribbean,Dominican Republic,"","",2019-05-08T04:00:00Z,"","","","IFC will engage with its Client to strengthen its transaction banking (TB) business and ease access to finance for and support the operations of SMEs through cash management. The project will be implemented across four modules: 

1. Operating Model and Action Plan, 
2. Product Management, 
3. Sales & Client Service,
4.Technology, Systems & Channels.","","","","","","IFC will engage Banco BHD LeÃ³n in strengthening the bank's Transaction Banking (TB) business to better serve enterprise clients, including SMEs in need of greater financing and non-financial products. The project focuses on improving: (i) the TB operating model, (ii) improving the TB product and service offering, (iii) the bank's sales & client services for enterprise clients; and (iv) the bank's technology, systems and channel capabilities.","","","","","","","","","","","","","","",603390,"","",Financial Institutions Group,"",2018-09-12T04:00:00Z,2018-08-27T04:00:00Z
VISION Banco RM,Advisory Services,"",Completed,Latin America and the Caribbean,Paraguay,"","",2019-05-08T04:00:00Z,"","","",The strengthening of the Client's credit risk management platform will be achieved through: (i) the revision of credit risk processes and management; and (ii) a capacity training at all levels.,"","","","","",The expected development impact of this project is to optimize the client's portfolio through the strengthening of its credit risk management platform.,"","","","","","","","","","","","","","",602962,"","",Financial Institutions Group,"",2018-02-02T05:00:00Z,2017-11-21T05:00:00Z
E&S Myanmar,Advisory Services,"",Active,East Asia and the Pacific,Myanmar,"","",2019-05-08T04:00:00Z,"","","","Component 1: The project will support new and existing clients to enhance their E&S performance, providing technical solutions to complex E&S challenges based on IFC's Performance Standards; and helping clients to adopt robust E&S management systems that ensure management and oversight of environmental, health and safety and other risks at the right level. 

As a result, high risk clients across a range of sectors will implement recommendations to improve their ESG performance and the project will help unlock new investments,
These engagements and their results will be leveraged to achieve a broader impact in the market:

Component 2: The project will support the enabling environment for good E&S practices in the private sector by (a) strengthening local intermediaries to provide effective support to local firms on E&S practices; and (b) furthering effective government oversight through ECD/MONREC's improved ability to effectively implement and manage the EIA process with the quality and timeliness required by EIA procedures adopted in 2015.

This component includes
2a) Strengthening local intermediaries to provide effective support on E&S practices; The capacity building to newly established Myanmar Environmental Assessment Association  MEAA by giving training on good international industry practices and have regularly joined IFC trainings and workshops under other Advisory projects.

By June 2020, E&S consultants/firms will have successfully competed for assignments to support E&S challenges of private companies, either directly or as part of an international consortium.
2b) Strengthen ECD/MONREC ability to effectively implement and manage the EIA process; IFC plans to place 1-2 consultants inside ECD/MONREC to provide support on addressing EIA bottlenecks to the review process and streamline implementation.  As part of this support, the IFC and World Bank will jointly carry out a diagnostic to the existing EIA systems with a view to: a) identify and quantify the operational, resourcing and administrative bottlenecks, constraints and barriers in the way of implementing the regulatory EIA process with the quality and timeliness required by the EIA Procedures (2015) and good international practice; b) map out and quantify the specific interventions and resources needed to address these constraints; and c) outline a roadmap, cost and priorities of measures to strengthen the Myanmar EIA process centered on the ECD and involving other line Ministries, sector agencies, private sector and CSOs. This work will be carried out in-line with the Environmental Sector Working Group which both WB and IFC participate in as well as the Sub-Committee EIAs.  A coordinated approach to supporting ECD/MONREC is underway.
ECD/MONREC will have identified operational, resourcing and administrative bottlenecks to effectively conducting EIA systems and developed a roadmap to strengthen these systems. 

Component 3: The project will build the knowledge of broader private sector and other stakeholder groups in Myanmar on key environmental and social challenges, solutions, and good management practices, with a focus on power, infrastructure, agriculture and tourism sectors. 

Participants to IFC sponsored events will report increased knowledge of E&S issues and 2-3 guidance notes will be published on the level of inquiry clients will need to apply in line with the IFC's Performance Standards and investment risks.","","","","","","The overall goal of this project is to enhance the E&S performance of high-risk direct investment clients, and to leverage these engagements to strengthen the enabling environment for good E&S practices in the private sector in Myanmar, and to increase awareness among private firms of key E&S challenges and good E&S practices, with a particular focus issues related to power, infrastructure, agriculture  and tourism sectors. To accomplish this goal, the project aims to achieve the following objectives:

(a) Existing and/or new Clients will improve their Environmental, Social and Governance performance in their projects. IFC will provide technical solutions to the complex E&S challenges based on IFC's Performance Standards.

(b) ECD/MONREC will improve effective implementation and management of the EIA process with quality and timeline. IFC will support international consultants at ECD's office to addressing bottleneck EIA process review and on-job training.

(c) Local and regional E&S consultants and other intermediaries will be well positioned to provide support to the private sector in Myanmar. IFC signed a project service agreement with newly established MEAA and will provide technical advice to them by giving training on good international industry practice.","","","","","","","","","","","","","","",602601,"","","Environment, Social and Governance","",2018-11-09T05:00:00Z,2018-09-01T04:00:00Z
KENYA: Infra Fin,Advisory Services,"",Active,Africa,Kenya,"","",2019-05-08T04:00:00Z,"","","","The activities under the Advisory Services Project seek to support select county governments in undertaking upstream pre- and full feasibility studies in the high-impact devolved sectors of local infrastructure and affordable housing for conceptualization of market-based and replicable business templates/models nationwide, while proposing new policies and/or structural reforms in existing legal and regulatory frameworks, as appropriate.","","","","","",The goal of the Project is to mobilize private capital into a high impact and replicable transaction in the affordable housing sector that could serve as a pilot for demonstration and proof of concept.,"","","","","","","","","","","","","","",603144,"","",Other,"",2018-06-29T04:00:00Z,2018-06-18T04:00:00Z
Rice Mars-BRICo,Advisory Services,"",Active,East Asia and the Pacific,Cambodia,"","",2019-05-08T04:00:00Z,"","","","Although, the Cambodian rice sector is undergoing significant changes and Cambodian rice exports have dramatically increased following higher product quality and improved production technology, some sector challenges remain including limited milling and storage capacity, leading to significant loss of a substantial degree of the value addition due to large portion of paddy is exported for processing to Thailand and Vietnam through informal channels. Farmers struggle to find proper off takers and often accept low paddy prices due to their inability to effectively engage in their supply chain, and overall export levels remain below the country's potential.  

At the smallholder level, yields and farm practices are generally poor if compared to neighboring countries. Farmers lack access to technology, inputs, knowledge and finance. E&S performance is generally low and market dynamics are poorly understood, and generally farmers have poor business and financial management skills. At the industry level, millers and exporters still faces poor and inconsistent paddy quality from farmers, attributable to (i) limited access to improved quality seeds, (ii) a highly-fragmented rice industry with too many intermediaries leading to a significant loss in value and quality across the value chain; (iii) ineffective supply chain development of high value varieties and iv) limited access to affordable inputs services. These combined constraints prove a great challenge for commercial investors and regional and international rice players to provide long term funding and enter into the Cambodia rice market. 

The project aims to address these challenges through a combined lead firm approaches in partnership with international players and their key domestic partners. The project has two specific objectives: (1) Increase access to SRP verified rice, including strengthening farmer groups/cooperatives and traceability; and (2) Improve farmers' adoption of technology climate smart agriculture practices including improve access to planting seeds and services. To achieve these objectives, the project has designed and implemented various interventions include: (i) SRP training; (ii) seed multiplication; (iii) introduction of technologies and mechanization; (iv) farmers financial literacy; (v) farmer group/cooperative strengthening; and (vi) traceability. IFC manages the project and implements with its contractors and with partners under close guidance and technical inputs from various IFC internal specialists.","","","","","","The overall goal is to develop sustainable, traceable and inclusive rice supply chains and support the introduction of climate smart rice production and processing practices, developed by SRP and IRRI. The project also aims to enhance overall supply chain performance and increase revenues for private sector firms and smallholder farmers through improving productivity and climate resilience, building supply chain connectivity, adoption of new practices, technology and inputs, and increase farmers financial literacy.  

The project will be implemented in three and a half years in close collaboration with Mars and its domestic partner, BRICo. The engagement seeks to build smallholder farmers capacity and access to inputs, technology and information, and support their adoption of SRP practices.

The project expects to reach thousand of farmers by 2021 through the following specific objectives: (1) Increase access to SRP verified rice, including strengthening farmer groups/cooperatives and traceability; and (2) Improve farmers' adoption of technology climate smart agriculture practices including improve access to planting seeds and services. 

","","","","","","","","","","","","","","",603217,"","","Manufacturing, Agribusiness & Services","",2018-05-09T04:00:00Z,2018-05-07T04:00:00Z
SSA ESG Client S,Advisory Services,"",Active,Africa,Ethiopia,"","",2019-05-02T04:00:00Z,"","","","The project will pilot the delivery of intensive and customized support to clients, helping them incorporate ESG into their risk management and governance practices in a manner that is consistent with relevant local regulations and international good practice, including the IFC Performance Standards were applicable. The project will provide in-depth support to clients with the development/ improvement of robust management and governance systems for proper E&S risk identification, management, monitoring and reporting; and build capacity of staff and management involved in E&S risk management and Corporate Governance.","","","","","","The project will help strengthen the application of good E&S standards by supporting the adoption of sound E&S risk management and governance practices by clients targeted under the project, strengthening their ESG performance and facilitating their access to sustainable finance.","","","","","","","","","","","","","","",602999,"","","Environment, Social and Governance","",2018-07-26T04:00:00Z,2018-08-01T04:00:00Z
Ethiopia DB,Advisory Services,"",Active,Africa,Ethiopia,"","",2019-05-02T04:00:00Z,"","","","The Ethiopia Doing Business project aims to improve Ethiopia's Business Climate and make it work for all classes and types of business through a range of focused technical assistance. These include support for planning and coordination of business climate reforms, public and private sector collaboration, institutional capacity building and effective communication.","","","","","",The overarching objective of the project is to improve Ethiopia's Business Climate and make it work for all classes and types of business through realization of targeted reforms across the doing business indicators.,"","","","","","","","","","","","","","",602819,"","",Other,"",2018-09-27T04:00:00Z,2018-07-03T04:00:00Z
Zambia STR Ph 2,Advisory Services,"",Active,Africa,Zambia,"","",2019-05-02T04:00:00Z,"","","","This project is a continuation of WBG Finance, Competitiveness and Innovation's (FCI) Zambia Secured Transactions Phase 1 project ( #599863) which led to the establishment of the best practice legal and institutional framework for movable asset-based lending.  The Phase 2 of this project will address all the main obstacles and non-leveraged opportunities for the development of a robust movable asset based lending market.   The project will have six components: (1) Increase the lenders' and key stakeholders' understanding and knowledge of the movable asset based financing;  (2) Assess and adjust prudential regulation guidelines and oversight procedures on movables based collateral lending to further facilitate movable asset based lending; (3) Amend the Small Claims Court Act and continue to strengthen the capacity of the Zambia Judiciary on the MPSI & Insolvency Acts, including the new changes to the Small Claims Court Act; (4) Develop and implement the leasing regulation in collaboration with Bank of Zambia; (5) Build capacity of the insolvency regulator/administrator (PACRA) on bankruptcy and insolvency practices and support the development of the insolvency practitioners' industry; and (6) Strengthen the statistical analysis and reporting capability based on data from the Collateral Registry database to guide policy directives aimed at reporting on the development of a movables based finance industry in Zambia.","","","","","","The objective of the project is to increase the reach of credit to individual consumers as well as micro, small and medium enterprises, including women entrepreneurs who are adversely affected by the traditional lending practice that favors physical assets over movable assets as collateral for loans.  The project will address all the main obstacles and non-leveraged opportunities for the development of a robust movable asset based lending market, contributing to financial system deepening and inclusion.","","","","","","","","","","","","","","",602541,"","",Other,"",2018-07-28T04:00:00Z,2018-06-20T04:00:00Z
DRC Leasing,Advisory Services,"",Completed,Africa,"Congo, Democratic Republic of","","",2019-05-02T04:00:00Z,"","","","The objective of the DRC Leasing Program is to facilitate access to finance for micro, small and medium sized enterprises through the development of a sustainable leasing industry. It will do this by working at the regulatory, market and firm levels. Specifically, the program aims to: 1.	Support the Central Bank of DRC to update the current leasing regulation and develop the supervision framework (regulatory level);  2. Attract additional players into the local market, and by doing so support at least two entities to launch leasing operations, and help facilitate a minimum of US$ 1 million in lease financing to SMEs one year post-completion (market and firm levels); and 3. Provide leasing technical assistance to commercial banks and/or specialized leasing companies to enable at least an additional 50 entities to access financing through leasing (there are currently zero), 10 of which should be female-run entities, by one year post-completion (firm level). The program further expects to hand over activities to the African Leasing Federation (Africalease) and country-based national banking and/or leasing associations to build upon this success in an effort to create a vibrant and sustainable leasing industry in DRC.","","","","","",The DRC Leasing Program aims to increase access to finance for MSMEs by helping create the foundation for leasing sector market creation in DRC.,"","","","","","","","","","","","","","",602323,"","",Other,"",2018-09-03T04:00:00Z,2018-08-01T04:00:00Z
Chad Leasing,Advisory Services,"",Completed,Africa,Chad,"","",2019-05-02T04:00:00Z,"","","","The objective of the Chad Leasing Program is to facilitate access to finance for micro, small and medium sized enterprises through the development of a sustainable leasing industry. It will do this by working at the regulatory, market and firm levels. Specifically, the program aims to: 1.	Support the Central Bank of Chad to draft leasing regulations and guidelines to support the leasing law currently embedded in the 2017 financial law (regulatory level);  2. Attract additional players into the local market, and by doing so support at least two entities to launch leasing operations, and help facilitate a minimum of US$ 1 million in lease financing to SMEs one year post-completion (market and firm levels); and 3. Provide leasing technical assistance to commercial banks and/or specialized leasing companies to	enable at least an additional 50 entities to access financing through leasing (there are currently zero), 10 of which should be female-run entities, by one year post-completion (firm level). The program further expects to hand over activities to the African Leasing Federation (Africalease) and country-based national banking and/or leasing associations to build upon this success in an effort to create a vibrant and sustainable leasing industry in Chad.","","","","","",The Chad Leasing Program aims to increase access to finance for MSMEs by helping create the foundation for leasing sector market creation in Chad.,"","","","","","","","","","","","","","",602298,"","",Other,"",2018-09-03T04:00:00Z,2018-08-01T04:00:00Z
SVIP,Advisory Services,"",Active,Africa,Malawi,"","",2019-05-02T04:00:00Z,"","","","The Government of Malawi has for many years intended to develop irrigated agriculture in the Lower Shire Valley, which is the poorest region in the country and is most severely affected by weather shocks. A number of studies have been prepared in the past, but the project never advanced beyond preliminary studies due to its cost and complexity and general disengagement of financiers from large-scale irrigation in the region in the 1980s. 
The Government requested support for the development from donors who responded with a joint AfDB/World Bank/IFC project identification mission in January 2011. The mission established several key principles to guide the design and implementation of the project, including that: the project would focus on commercial production, including smallholders in high value chains; professional management and PPPs to be pursued.
In cooperation with other donors the World Bank is now preparing a US$265.9 million project, of which IDA will fund US$160 million, for the development of SVIP.  The SVIP will fund the phased development of up to 42,500 ha of irrigation and drainage services associated with the proposed agricultural development.  The SVIP will initially cover 22,000 ha, of which over 12,000 ha are already developed and under commercial sugar cane production, mainly by Illovo where expensive electric-powered pumped irrigation will be replaced by gravity fed water from SVIP.  An additional 9,300 ha will be developed for new for irrigated agriculture.  Other components of the SVIP will fund smallholder-based agriculture modernization and commercialization and value chain support.
The SVIP as proposed by the WB is a 15-year program (2017-2032) structured around three coordinated pillars: (i) Providing reliable, professionally managed and sustainably-financed irrigation services to a large number of farmers in a phased construction, (ii) Supporting farmer organizations within a comprehensive land use plan; supporting land tenure strengthening and consolidation as well as natural resources management; and (iii) Establishing smallholder-owned commercial farm enterprises, supporting the transition from subsistence farming to commercial agriculture, and supporting the development of supply chains and access to markets.  IFCs involvement is with the first pillar only, the initial development and operation of the main irrigation infrastructure with a capital cost of approximately US$170 million.
The irrigation infrastructure will be located in the south of Malawi on the west bank of the Shire River. The first component is the development of the bulk water infrastructure through a gravity-fed network of over 60 km of primary canals. The primary canals will start at the intake at the existing Kapichira hydropower dam, which is operated by Escom, Malawis state-owned power utility. In order to ensure water availability for the SVIP, there will be no further development of the power generation capacity of Kapichira.  The primary canals will deliver bulk water to drinking-water treatment plants, to green-field irrigation projects (approximately 9,300 ha) and to the existing sugar cane farms: Illovo (about 10,000 ha); Kasinthula, Sande Ranch and Phata (about 2,180 ha in total).  Secondary canals will distribute water from the main canals to the different farms.

The proposed advisory project will be structured in two Components, each in two phases, the first phase providing advice on structural issues and the second phase assisting with implementing the agreed structure.   The scope of IFCs work will cover:
 - Component A: Commercial and legal structuring of the SVIP and associated WPAs.
 - Component B: Procurement of an incentive-based Management and Operations contract.","","","","","","The Government of Malawi (""GoM"") intends to develop the Shire Valley Irrigation Project (""SVIP"") with the support of the World Bank and other donors. GoM has decided that the major infrastructure assets should be publicly procured and owned but that the operation and maintenance (""O&M"") of the irrigation system should be managed through an incentive-based PPP arrangement.  

GoM has requested IFC to provide (i) strategic advice on structuring the commercial aspects of the SVIP, including the water purchase agreements (""WPA""), as well as (ii) transaction advice for the structuring of an incentive-based contract for the operation and management of the irrigation infrastructure.  The objective of the IFC advisory project will be to provide GoM with the requested advice.","","","","","","","","","","","","","","",602178,"","",Transaction Advisory,"",2018-10-31T04:00:00Z,2018-10-01T04:00:00Z
ETH GRN INDUSTRY,Advisory Services,"",Active,Africa,Ethiopia,"","",2019-05-02T04:00:00Z,"","","","The proposed program will be implemented through 2 main pillars: (1) Component I: Industrial parks sustainability and textile/ footwear sector reforms  reforms; (2) Component II: Promoting sector sustainability and eco-industrial parks.

Component I: Industrial parks sustainability and textile/ footwear sector reforms  The project will leverage the World Bank Groups ongoing engagements and dialogue on the Government's industrial parks and industrialization programs and carry out analysis to further drill down into the emerging challenges on environmental sustainability of the IPs and the selected sectors and identify regulatory and administrative gaps and constraints.  This component will have 4 areas of intervention:

1. Technical sector analysis of current environmental performance of selected industries The project will conduct research and survey existing investors in the industrial parks and assess the main challenges and concerns on competitiveness highlighting environmental and resource factors. This will include data on environmental performance and compliance, resource efficiency and common green infrastructure opportunities. The main focus will be on industrial parks, but solutions will also consider industries outside of industrial parks. This analysis will identify regulatory challenges, but also cost effective operating and technology solutions that sectors and industrial park operators can use to improve sustainability. 
2. Identify regulatory gaps for current status of regulations and performance of sector and suggestions for future changes - The country doesn't have a green manufacturing policy in place yet, even though there are new initiatives to develop green manufacturing strategy and policy. On the other hand, there are binding/stringent constraints in the current environmental strategy of Ethiopia at the Ministry of Environment which were enacted 20 years ago. These regulations are not adequate to respond to current realities and the Government's ambitious industrialization strategy. The project will assist GoE in the formulation of a structured policy for sustainable industrialization and help formulate compliance standards for sustainable manufacturing within industrial parks while still maintaining the sectors' global competitiveness. 
3. Development of sustainability action plan for industrial parks  Based on the technical analysis, the project will design sustainability action plans for selected industrial parks. GIZ has been developing a project to set up Environmental Social Management Framework at IPs. The project will coordinate with GIZ to give a comprehensive approach to GoE on addressing E&S related issues in IPs.
4. Sector sustainability roadmap Lastly, based on the technical analysis and benchmarking exercise and in consultation with private sector actors, the team will develop sector specific sustainability action plans for the textile and footwear sectors. This action plan will provide further details and prioritization of actions for the growth of these sectors. It will provide guidance on how these may be implemented in the industrial parks framework, and will be aligned with the sustainability action plan for the IPs.

Component II: Promoting sector sustainability and eco-industrial parks  Based on component 1 findings, the project will work together with government agencies, private sector, development partners and other stakeholders to help implement sustainability actions within the industrial parks and will include (I) Pilot implementation of actions in industrial parks; (ii) Potential for sustainable textile and footwear sectors and promotion of Ethiopia as a sustainable investment location;  and (iii) Where possible, the project will identify financing opportunities in the textile and footwear sectors and recommend potential investment vehicles to support investments in technologies and actions that support sustainability in IPs.","","","","","","Through a mix of targeted industry analysis and benchmarking work, the project will aim to help guide the textile and footwear industries into a sustainable development path with the implementation of a comprehensive green development interventions that will improve the sectors cost competitiveness, environmental sustainability, and Ethiopia's local and international standing.","","","","","","","","","","","","","","",602203,"","",Other,"",2018-07-05T04:00:00Z,2018-07-01T04:00:00Z
Ukraine Dairy SC,Advisory Services,"",Active,Europe,Ukraine,"","",2019-04-23T04:00:00Z,"","","","The Project`s goal is to facilitate the growth of the Ukrainian dairy industry by improving the operational efficiency and the productivity of dairy producers, by improving farmer access to inputs, services and financing and by supporting the modernization of the dairy processors.  

The Project will achieve its goal through three objectives: 
OBJECTIVE 1. Improving the operational efficiency and productivity of dairy producers
OBJECTIVE 2. Improving farmer access to inputs, services and financing.
OBJECTIVE 3. Improving the capacity of milk processors to export their products.

The Project will be implemented in two phases as follows:

PHASE 1: The pilot phase.  The objective of Phase 1 is to confirm the proof of concept. 
PHASE 2: The roll-out phase.  During this phase the Project will scale up those initiatives which will prove to be successful during the pilot phase. 
This Project will serve as a platform on which IFC will build partnerships with dairy industry stakeholders with the aim to increase the cost-efficient output of high quality milk and to support the consolidation and modernization of the milk processing industry so that it will become competitive on global export markets.","","","","","","The Project`s main goal is to facilitate the growth of the Ukrainian dairy industry by improving the operational efficiency and the productivity of dairy producers, by improving farmer access to inputs, services and financing and by supporting the modernization of the dairy processors.  
The Project will build up the expertise, skills and infrastructure needed for positioning Ukraine in export markets, predominantly on the growing markets of East Asia and the Middle East.
During the Project Pilot Phase (Phase 1) IFC will design, test and verify the tools, approaches and partnerships which would enable the Project to support the development of more than 600 of dairy cooperatives in Ukraine which are uniting and/or servicing more than 40,000 smallholder milk producers and reach more than 30,000 dairy farmers during the Project Scale-up Phase (Phase 2).
","","","","","","","","","","","","","","",602031,"","","Manufacturing, Agribusiness & Services","",2018-01-29T05:00:00Z,2018-01-29T05:00:00Z
MENA SEF II,Advisory Services,"",Active,Africa,Middle East Region,"","",2019-04-23T04:00:00Z,"","","","The overall goal of the MENA Sustainable Energy Finance II Program is to improve access to finance for sustainable energy investments to increase competitiveness and address climate change issues in MENA region. The Program seeks to establish SEF products in the private sector by working with client banks, investment and advisory services clients across the region, and supporting the development via roll out of financially viable sustainable energy finance lending products through local financial institutions. 
In order to achieve this objective, the Program will focus on four main components:
1.	Create a regional platform to support financial institutions in providing climate financing for private sector, with an emphasis on potential and existing IFC investment clients;
2.	Assist client FIs in building the pipeline of eligible projects, improve market conditions and further develop new financial products for energy efficiency, renewable energy, and resource efficiency projects as well as for green buildings, water efficiency projects and other climate change mitigation/adaptation projects
3.	Provide knowledge sharing across the region within financial community
4.	Develop necessary frameworks and guidelines to allow key stakeholders (primarily FIs) to employ innovative financial solutions for financing climate projects, like green bonds etc.","","","","","","The overall goal of the MENA SEF Program is to strengthen private climate finance market in the region. . IFC will support banks in developing and marketing sustainable energy lending products including issuance of green bonds. In each focus country, committed financial institutions will be selected by IFC as partners, and IFC will work with these institutions to build their sustainable energy finance expertise. As FIG AS prioritize work with existing investment clients, in most cases this will include provision of dedicated IFC financing for any combination of energy efficiency, resource efficiency, renewable energy projects as well as other climate change mitigation/adaptation measures.
","","","","","","","","","","","","","","",600808,"","",Financial Institutions Group,"",2016-09-29T04:00:00Z,2016-10-01T04:00:00Z
Kenya IC Phase 3,Advisory Services,"",Active,Africa,Kenya,"","",2019-04-17T04:00:00Z,"","","","The Kenya Investment Climate Project (KICP 3) is one of 3 projects under the umbrella Competitiveness Enhancement Program whose main goal is to strengthen Kenya's competitiveness and job creation potential through targeted private sector enabling interventions. KICP 3 specifically aims to strengthen the business environment, enhance efficiency and transparency and open markets in key sectors of the economy through targeted legal and regulatory improvements at national and subnational levels.

Project success will be measured through a robust monitoring and evaluation framework estimating impact in terms of direct private sector savings, investments and jobs generated, growth in business formalization, and investment enabling reforms at both levels of government.","","","","","","Project success will be measured through a robust monitoring and evaluation framework estimating impact in terms of private sector savings, investments and jobs generated, growth in business formalization, and investment enabling reforms at both levels of government.","","","","","","","","","","","","","","",603298,"","",Other,"",2018-07-31T04:00:00Z,2018-07-01T04:00:00Z
Afghan Solar,Advisory Services,"",Completed,Middle East,Afghanistan,"","",2019-04-09T04:00:00Z,"","","","IFC will provide transaction advisory support to the Ministry of Energy and Water to assist in structuring and tendering a public-private partnership with a qualified private investor to build, operate, and maintain a 40MW solar PV power plant. The Government is considering options for structuring the project, including using the World Bank Group's Scaling Solar approach.","","","","","","The objective of the proposed project is to assist the Ministry of Energy and Water in implementing a solar power project to supply energy to the national grid. The successful implementation of the project is expected to improve energy security in Afghanistan, mobilize foreign direct investment, and reduce harmful GHG emissions through the use of renewable energy sources.","<table><tbody><tr><th>Indicator</th><th>Calendar Year 2017 Results</th><th>Cumulative Results as of 2017</th></tr><tr><td>Number of agreements (concession, etc.) signed</td><td>Not Available</td><td>Not Available</td></tr><tr><td>Number of bids conducted</td><td>Not Available</td><td>Not Available</td></tr></tbody></table>","","","","","","","","","","","","","",601914,"","",Transaction Advisory,"",2017-07-06T04:00:00Z,2019-02-19T05:00:00Z
